population,price,income,employment,poverty,area
4364,551700,99570,65.1,181,301
7298,588800,99164,62,535,302
4880,389100,134669,60,104,303
4390,631200,92470,79.2,173,304
2720,599000,107498,61.4,65,305
5670,793200,75521,64.7,330,306
2284,726700,162449,55.5,83,307
4571,681900,128448,63,196,308
4183,825500,129327,67.2,146,309
5904,942300,111923,60.9,347,310
3640,687600,95256,58.9,202,311
3846,"1,000,000+",106405,59.4,48,312
1885,798100,189876,64.2,35,313
4585,536500,163467,68.1,152,314
4907,516200,87302,75.7,226,315
5393,637600,77489,69.7,429,316
5064,335000,117519,61.8,218,317
4183,359300,57436,67.1,532,318
4613,435300,55561,66.4,842,319
2961,858700,65261,68.8,246,320
3205,658700,141233,49.1,193,321
2853,348500,76707,56.6,157,322
5197,398600,62904,68.7,720,323
3445,"1,000,000+",51591,64.5,265,324
5131,979700,150530,71.3,348,325
4959,"1,000,000+",177458,61,122,326
5863,"1,000,000+",197769,58.3,197,327
2744,"1,000,000+",168996,67.9,115,328
3210,"1,000,000+",192446,51.5,46,329
3813,617700,207383,55.7,88,330
4331,910300,89198,76.1,236,331
3047,615200,120345,79.5,136,332
3765,958700,74064,79.5,263,333
2758,762600,137336,67.4,169,334
5669,359900,100773,77.1,482,335
3359,711700,71781,78.4,358,336
3138,944000,97024,77.3,192,337
4500,"1,000,000+",130382,64.2,255,338
3066,"1,000,000+",266795,61.4,73,339
3702,"1,000,000+",207171,64.7,107,340
3197,954500,254099,70.5,99,341
4249,587700,110365,79.4,281,342
4059,731200,76306,82.3,303,343
6303,801500,103800,76.8,336,344
6402,791000,115756,78.4,423,345
4489,685500,133925,79.8,286,346
4168,644800,112572,69.1,372,347
2223,416700,88579,83,226,348
3023,"1,000,000+",97946,85.9,241,349
3707,"1,000,000+",179884,74.2,126,350
5114,"1,000,000+",154968,76.4,246,351
4002,914200,223994,73.1,140,352
2705,667000,151511,73.1,104,353
6193,615100,107754,69.6,201,354
3898,525300,101666,64.4,192,355
4778,501100,76109,63.1,647,356
3491,557300,97375,68.5,111,357
4379,493700,73240,59.2,140,358
4049,604600,90908,70.5,198,359
3834,535300,61862,68.5,315,360
2062,500000,79288,64.3,50,361
4508,514400,57923,65.5,512,362
3327,462700,70840,70.6,187,363
3267,397900,66905,60.4,298,364
3626,436200,65251,67.1,395,365
2811,436600,74938,68.7,225,366
2998,434900,62465,65.4,527,367
2584,463000,65867,71.4,187,368
3639,490700,56717,70.8,386,369
3178,462800,49434,68.8,466,370
3031,329000,58271,72.1,283,371
2986,439700,56449,76.3,519,372
3145,444700,74778,64.8,271,373
4201,416100,41197,71.6,658,374
3651,573800,44205,66.6,711,375
6378,535300,97365,64.2,739,376
3951,424500,70699,74.1,594,377
3143,618400,66671,67.8,180,378
1961,356100,119172,60.7,141,379
3559,427200,52308,56.4,546,380
2877,566700,44981,65.7,345,381
4614,574900,83238,69.9,334,382
3013,529100,59076,62.9,364,383
1971,582200,82295,61.5,105,384
2705,553100,86868,57.8,301,385
